x (mm),Ic(A),Adjusted x(mm),Ic Calibrated (A),4 Reading Running Avg,3 Reading Running Avg,2 Reading Running Avg,30 % drop line,,,,,,,,,,,,
533.76,12.79,-9.85,19.48,22.83,22.34,17.06,57.75,,,,,,,,,,,,
535.72,9.62,-7.89,14.65,24.12,23.94,23.77,57.75,,,,,,,,,,,,
537.68,21.6,-5.93,32.89,39.78,27.27,28.59,57.75,,,,,,,,,,,,
539.65,15.95,-3.96,24.29,52.54,42.08,24.46,57.75,,,,,,,,,,,,
541.63,16.18,-1.98,24.64,64.86,61.96,50.97,57.75,,,,,,,,,,,,
543.61,50.77,0.00,77.31,73.47,78.26,80.62,57.75,,,,,,,,,,,,
545.6,55.12,1.99,83.93,74.48,72.20,78.74,57.75,,,,,,,,,,,,
547.58,48.3,3.97,73.55,73.47,71.33,66.33,57.75,,,,,,,,,,,,
549.56,38.82,5.95,59.11,75.76,73.45,70.23,57.75,,,,,,,,,,,,
551.54,53.42,7.93,81.34,82.28,81.31,80.62,57.75,,,,,,,,,,,,
553.52,52.47,9.91,79.90,80.03,82.59,81.30,57.75,,,,,,,,,,,,
555.51,54.31,11.90,82.70,80.81,80.07,83.93,57.75,,,,,,,,,,,,
557.49,55.93,13.88,85.16,80.98,80.18,78.76,57.75,,,,,,,,,,,,
559.47,47.52,15.86,72.36,80.17,79.59,77.68,57.75,,,,,,,,,,,,
561.45,54.51,17.84,83.00,82.21,82.77,83.20,57.75,,,,,,,,,,,,
563.43,54.77,19.82,83.40,81.99,81.95,82.66,57.75,,,,,,,,,,,,
565.41,53.8,21.80,81.92,82.33,81.53,81.23,57.75,,,,,,,,,,,,
567.4,52.89,23.79,80.54,82.98,82.47,81.33,57.75,,,,,,,,,,,,
569.38,53.93,25.77,82.12,84.50,83.79,83.44,57.75,,,,,,,,,,,,
571.36,55.66,27.75,84.75,82.43,85.30,84.62,57.75,,,,,,,,,,,,
573.34,55.49,29.73,84.49,81.09,81.65,85.57,57.75,,,,,,,,,,,,
575.32,56.9,31.71,86.64,80.96,79.95,80.23,57.75,,,,,,,,,,,,
577.31,48.48,33.70,73.82,78.63,79.06,76.61,57.75,,,,,,,,,,,,
579.29,52.14,35.68,79.39,80.59,80.24,81.69,57.75,,,,,,,,,,,,
581.27,55.15,37.66,83.98,80.34,80.99,80.66,57.75,,,,,,,,,,,,
583.25,50.79,39.64,77.34,81.52,79.12,79.49,57.75,,,,,,,,,,,,
585.23,53.62,41.62,81.65,84.33,82.92,80.02,57.75,,,,,,,,,,,,
587.21,51.48,43.60,78.39,87.70,85.22,83.55,57.75,,,,,,,,,,,,
589.19,58.26,45.58,88.71,88.69,90.81,88.64,57.75,,,,,,,,,,,,
